,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Myo1b,-0.086222574,,,0.5644523934958011,0.9995071032895373,,-0.086222574
Arl5a,-0.13054696,,,0.5644523934958011,0.9995071032895373,,-0.13054696
Tmem101,-0.22374862,,,0.562509670573316,0.9995071032895373,,-0.22374862
Tmem59,-0.077886045,,,0.5623954933655231,0.9995071032895373,,-0.077886045
Tmem41b,-0.21753925,,,0.5621671725305208,0.9995071032895373,,-0.21753925
Rac1,-0.052811302,,,0.5619388964841068,0.9995071032895373,,-0.052811302
Osbpl2,-0.1438699,,,0.5611402832823037,0.9995071032895373,,-0.1438699
Tle1,-0.107015505,,,0.5602282555223043,0.9995071032895373,,-0.107015505
Zfp207,-0.08957783,,,0.5600003608784289,0.9995071032895373,,-0.08957783
Coq3,-0.35402277,,,0.5598864304127733,0.9995071032895373,,-0.35402277
Aup1,-0.10222097,,,0.5596586032047977,0.9995071032895373,,-0.10222097
BC048546,-0.11099963,,,0.5585201421908841,0.9995071032895373,,-0.11099963
Cast,-0.336215,,,0.5581788234795366,0.9995071032895373,,-0.336215
Coa4,-0.11861613,,,0.557723889690846,0.9995071032895373,,-0.11861613
Cep89,-0.56511956,,,0.5574964904749128,0.9995071032895373,,-0.56511956
Dnajc18,-0.37539625,,,0.5573828077940295,0.9995071032895373,,-0.37539625
Commd10,-0.23379473,,,0.5567009488223724,0.9995071032895373,,-0.23379473
Slc35d3,-0.1562098,,,0.5561330437530803,0.9995071032895373,,-0.1562098
Tshz1,-0.14166044,,,0.555792436426508,0.9995071032895373,,-0.14166044
Dido1,-0.15900159,,,0.555792436426508,0.9995071032895373,,-0.15900159
Fam222a,-0.2588358,,,0.5555654214587915,0.9995071032895373,,-0.2588358
Ddx3y,-0.16735004,,,0.5555654214587915,0.9995071032895373,,-0.16735004
Hax1,-0.1430149,,,0.5554519309563002,0.9995071032895373,,-0.1430149
Polr3gl,-0.25235915,,,0.555338451777548,0.9995071032895373,,-0.25235915
Nisch,-0.006956078,,,0.555224983924655,0.9995071032895373,,-0.006956078
Rabgap1l,-0.12625727,,,0.555224983924655,0.9995071032895373,,-0.12625727
Fmr1,-0.12352269,,,0.5549980822049211,0.9995071032895373,,-0.12352269
Prpf18,-0.19316216,,,0.5548846483423158,0.9995071032895373,,-0.19316216
Stard4,-0.24136262,,,0.5547712258140405,0.9995071032895373,,-0.24136262
Ltn1,-0.32971925,,,0.5545444147689413,0.9995071032895373,,-0.32971925
Srsf10,-0.09340122,,,0.5544310262563459,0.9995071032895373,,-0.09340122
Zfyve27,-0.26562077,,,0.5543176490865378,0.9995071032895373,,-0.26562077
Pttg1,-0.18545419,,,0.5540909287837301,0.9995071032895373,,-0.18545419
B3gat3,-0.21199544,,,0.5537509334531973,0.9995071032895373,,-0.21199544
Acsl1,-0.31871235,,,0.5532977653319001,0.9995071032895373,,-0.31871235
Gkap1,-0.33284688,,,0.553071249446049,0.9995071032895373,,-0.33284688
Cnot1,-0.12475643,,,0.5529580085541859,0.9995071032895373,,-0.12475643
Crk,-0.16656393,,,0.5527315608830932,0.9995071032895373,,-0.16656393
BC004004,-0.12254803,,,0.5526183541080647,0.9995071032895373,,-0.12254803
Jph4,-0.33706358,,,0.5526183541080647,0.9995071032895373,,-0.33706358
Gpn3,-0.17348695,,,0.5523919746895397,0.9995071032895373,,-0.17348695
Xrn1,-0.21846145,,,0.5519393524373399,0.9995071032895373,,-0.21846145
Ifngr1,-0.25048113,,,0.5519393524373399,0.9995071032895373,,-0.25048113
Tox3,-0.113140434,,,0.5518262253416911,0.9995071032895373,,-0.113140434
Wbp2,-0.115902565,,,0.5517131096371903,0.9995071032895373,,-0.115902565
Neo1,-0.14673765,,,0.5514869124100017,0.9995071032895373,,-0.14673765
Ric3,-0.34490347,,,0.5514869124100017,0.9995071032895373,,-0.34490347
Pdhx,-0.25576487,,,0.5514869124100017,0.9995071032895373,,-0.25576487
Ccni,-0.063050434,,,0.5513738308914954,0.9995071032895373,,-0.063050434
Tmem50b,-0.3223002,,,0.5510346547414042,0.9995071032895373,,-0.3223002
Sqrdl,-0.3334016,,,0.5509216188334761,0.9995071032895373,,-0.3334016
Nae1,-0.16644813,,,0.5506955812432923,0.9995071032895373,,-0.16644813
Zfp511,-0.21277432,,,0.5502436430239745,0.9995071032895373,,-0.21277432
Lsm2,-0.12022413,,,0.5501306870148457,0.9995071032895373,,-0.12022413
Qsox2,-0.41500646,,,0.5500177424281587,0.9995071032895373,,-0.41500646
Rpl11,-0.0038618343,,,0.5492274503242783,0.9995071032895373,,-0.0038618343
Rufy3,-0.113106,,,0.5483249457327748,0.9995071032895373,,-0.113106
Fam3a,-0.17922458,,,0.5477612526030753,0.9995071032895373,,-0.17922458
Acp6,-0.25506973,,,0.5474231742998634,0.9995071032895373,,-0.25506973
Mrps11,-0.14130047,,,0.5473105044735945,0.9995071032895373,,-0.14130047
Sp3os,-0.14552703,,,0.5470851992456118,0.9995071032895373,,-0.14552703
Diaph1,-0.20924318,,,0.5470851992456118,0.9995071032895373,,-0.20924318
Lasp1,-0.12548655,,,0.5470851992456118,0.9995071032895373,,-0.12548655
Palld,-0.16298066,,,0.5456218351301911,0.9995071032895373,,-0.16298066
Ctdnep1,-0.18577504,,,0.5455093491370133,0.9995071032895373,,-0.18577504
Cd2ap,-0.09477257,,,0.5452844116736562,0.9995071032895373,,-0.09477257
