,logFC,P.Value,adj.P.Val
Ddit4,-0.48628515,0.09131734919819594,0.831030438870998
Carm1,-0.48966506,0.19009367133455887,0.8996128020373015
Prepl,-0.6933645,0.09124953360946757,0.831030438870998
Accs,-0.99054354,0.19005268922455387,0.8996128020373015
Lpar1,-0.6111475,0.09126156391138208,0.831030438870998
Rfx6,-23.20749,0.1907056630961889,0.8996128020373015
Nlrc3,-22.28731,0.09144251522643586,0.8317387785062926
Tnfrsf19,-2.2046032,0.19044650567949445,0.8996128020373015
Bche,-0.3915366,0.09128954701815566,0.831030438870998
Dclre1c,-0.98819786,0.1896985540997361,0.8996128020373015
Itpripl2,-0.5286588,0.09122521951136324,0.831030438870998
Ptrh2,-0.2537328,0.18953008756840634,0.8996128020373015
Dynlt3,-0.32105508,0.09130889843802113,0.831030438870998
Rspry1,-0.3632103,0.18950231658012087,0.8996128020373015
Syt8,-22.652168,0.09119731826349972,0.831030438870998
B130006D01Rik,-0.92406994,0.18963530298670034,0.8996128020373015
Atxn2l,-0.43167827,0.0910642076639867,0.831030438870998
Parp1,-0.31240875,0.1892845121706534,0.8996128020373015
E130102H24Rik,-22.461658,0.091157131526741,0.831030438870998
Tox4,-0.32510504,0.1891638267355342,0.8996128020373015
Impg2,-22.585802,0.09108901947991503,0.831030438870998
Dclk3,-0.9018664,0.18903368790450092,0.8996128020373015
A430033K04Rik,-1.2758658,0.09063045530112356,0.831030438870998
Gm26601,-2.379821,0.18928270487719012,0.8996128020373015
Flnb,-0.37889814,0.09088457993677665,0.831030438870998
Slc27a4,-0.2952679,0.18843433426104564,0.8996128020373015
Rhov,-22.412094,0.09094037955232062,0.831030438870998
Atg3,-0.24699436,0.18834825900053262,0.8996128020373015
Fbxw10,-22.48986,0.09091114980090968,0.831030438870998
Csnk1e,-0.4945844,0.18834627100436285,0.8996128020373015
Mfsd1,-0.44901913,0.09076551934335048,0.831030438870998
Eif4ebp1,-0.25626987,0.18798441135334154,0.8996128020373015
Rundc1,-0.7300155,0.09051417746522744,0.831030438870998
Gm21992,-1.2992529,0.188093903746345,0.8996128020373015
Slc38a6,-1.0720793,0.0903718372558823,0.831030438870998
Dnajc1,-0.3429822,0.18773774028406504,0.8996128020373015
Gm14420,-22.359867,0.09044467293835204,0.831030438870998
Derl3,-2.4199297,0.18845403397633065,0.8996128020373015
Adamts17,-22.91158,0.09028775869352476,0.831030438870998
Cbarp,-23.306238,0.18846218733255177,0.8996128020373015
Pbld2,-0.34080932,0.09000393330374333,0.831030438870998
Gm10069,-1.600092,0.18785372159647348,0.8996128020373015
Vps41,-0.43565494,0.08994624238018606,0.831030438870998
Tdrkh,-22.844936,0.18817719229480012,0.8996128020373015
Sdc4,-0.21076038,0.08999765841435826,0.831030438870998
Fance,-0.405893,0.18705352640941972,0.8996128020373015
Pigr,-0.17126663,0.08986875411048668,0.831030438870998
Foxa2,-0.784607,0.18682183954895576,0.8996128020373015
Gm37233,-22.869352,0.08993744227617434,0.831030438870998
Krt78,-22.960463,0.18758326275033965,0.8996128020373015
Fam101b,-0.33084115,0.08976572900513641,0.831030438870998
Aqp11,-0.2235738,0.18650586042832823,0.8996128020373015
Zfp113,-0.58634937,0.08966510036188442,0.831030438870998
Reg3a,-0.37811148,0.18642336032170942,0.8996128020373015
Adcy5,-23.36034,0.0896757117614024,0.831030438870998
Cyb5d2,-0.6918306,0.1864031621844939,0.8996128020373015
2010110G14Rik,-23.223524,0.08901110133443357,0.8271080993628069
Herpud1,-0.30149618,0.18609135640318253,0.8996128020373015
Zfp677,-22.707304,0.08896305510388722,0.8271080993628069
Rnf219,-0.62339664,0.1861609024904649,0.8996128020373015
Gm10561,-23.071995,0.08892466056037293,0.8271080993628069
Tmem29,-0.3662193,0.18575764604847989,0.8996128020373015
B3gnt8,-22.52081,0.08865474555380815,0.8253818601152338
Tmem51,-0.26965284,0.1857275690363335,0.8996128020373015
Ckmt2,-22.721218,0.0883169175577612,0.8229020107330528
Slc28a2,-1.1938431,0.18578921534394327,0.8996128020373015
Usp53,-0.5079772,0.08798230366596693,0.820654470446941
Cul4b,-0.56856364,0.185507066306721,0.8996128020373015
Crnkl1,-0.46953237,0.08795126004285278,0.820654470446941
Whamm,-0.44374874,0.18550895642768758,0.8996128020373015
1810062O18Rik,-1.9874,0.08766526782529585,0.8202535003056098
Incenp,-0.49893707,0.18538322744600352,0.8996128020373015
Vcl,-0.585978,0.08785280004537467,0.8203173513269761
Cyth2,-0.2622059,0.18498660867354158,0.8996128020373015
Nrg4,-1.1358081,0.08752362860862394,0.8202535003056098
Lrrc47,-0.35157847,0.18489698840984048,0.8996128020373015
C330011M18Rik,-22.454268,0.08778298898182542,0.8202535003056098
Gspt1,-0.20171994,0.1847460873074293,0.8996128020373015
5730422E09Rik,-22.576578,0.08777872754229486,0.8202535003056098
Vcpip1,-0.40164134,0.18462057664069567,0.8996128020373015
Rab25,-0.16713245,0.08750342551126387,0.8202535003056098
Ppp1r14b,-0.16912329,0.18455380081336425,0.8996128020373015
Gm26981,-22.746487,0.08751598416977727,0.8202535003056098
Zmym1,-0.90113664,0.18470386096859018,0.8996128020373015
Atmin,-0.58968043,0.08725731135388283,0.8191540461293146
Oas1c,-2.4943593,0.18479195757295977,0.8996128020373015
Ifit1bl2,-1.2857748,0.08709274136341107,0.8191540461293146
B3glct,-0.35340416,0.18385803467273273,0.8996128020373015
Gm4349,-22.447006,0.08726207103818796,0.8191540461293146
Uvrag,-0.6681259,0.18422501694069404,0.8996128020373015
Rab10,-0.23584755,0.08717563674720848,0.8191540461293146
Nsdhl,-0.3057483,0.18362618565622138,0.8996128020373015
Limk1,-22.600636,0.0871054645552398,0.8191540461293146
RP24-330M21.1,-2.492366,0.1840234584087759,0.8996128020373015
Phf11c,-22.281462,0.08697590582473874,0.8191540461293146
Oip5,-1.5174584,0.1836875652211648,0.8996128020373015
Tceanc2,-0.6253506,0.08681760046992414,0.8191540461293146
Fbxl20,-0.518751,0.1829764527998891,0.8996128020373015
Iqgap1,-0.24280176,0.08692092040385034,0.8191540461293146
Upk1b,-0.6855434,0.18307444358271302,0.8996128020373015
Zfp446,-22.44198,0.08692954558546354,0.8191540461293146
Smg9,-0.3990368,0.18246716870440252,0.8996128020373015
Fank1,-22.55224,0.08691657381192348,0.8191540461293146
Fgd2,-2.1072943,0.18307752533745467,0.8996128020373015
Sgtb,-22.739027,0.08688418408522815,0.8191540461293146
Txnl1,-0.1630326,0.1822025651611806,0.8996128020373015
Chadl,-22.681286,0.08684655401446432,0.8191540461293146
B9d1os,-22.98438,0.1829825725714594,0.8996128020373015
Gm13856,-22.617786,0.08682280228442617,0.8191540461293146
Gps1,-0.22768717,0.18193941730475455,0.8996128020373015
Eva1a,-2.3400366,0.08650206810616354,0.8191540461293146
Zc3h15,-0.16498193,0.1818537360174389,0.8996128020373015
Rab26os,-0.43925193,0.08654205038390775,0.8191540461293146
Zbtb22,-0.4646004,0.18203272129309375,0.8996128020373015
Gpx5,-22.286324,0.08657908118900856,0.8191540461293146
Nus1,-0.24462593,0.18131175428732793,0.8996128020373015
Gm16253,-22.385166,0.08653255972222075,0.8191540461293146
BC005561,-0.27481186,0.18081541455486946,0.8996128020373015
Setd3,-0.3009505,0.08649912924062368,0.8191540461293146
1600020E01Rik,-0.47648022,0.18053653121219174,0.8996128020373015
Pstpip2,-22.75059,0.08647170139902464,0.8191540461293146
Thoc2,-0.22394228,0.18033344141135796,0.8996128020373015
Nmu,-2.3292797,0.0860768639263164,0.8191540461293146
Naa16,-0.47450855,0.18058630702694722,0.8996128020373015
Ccl28,-0.45560208,0.08614541937936393,0.8191540461293146
Ccdc86,-0.32063273,0.1803892402303006,0.8996128020373015
Trappc2l,-0.24282922,0.08616000826146047,0.8191540461293146
Pcna,-0.33106807,0.18046700521032039,0.8996128020373015
Nup54,-0.55198985,0.08594097233347985,0.8191540461293146
Dnajc25,-0.41579977,0.1799152754929384,0.8996128020373015
Gm5160,-22.60637,0.08614966634639566,0.8191540461293146
Klhl8,-2.4987736,0.1803368259614088,0.8996128020373015
Fzd3,-22.722681,0.08612549759837572,0.8191540461293146
Sh3d21,-0.80656856,0.1796134786812229,0.8996128020373015
Vps18,-0.89257216,0.08562377946705253,0.8191540461293146
4930533D04Rik,-23.018038,0.18007084054831882,0.8996128020373015
Acat3,-22.873816,0.08587044620098847,0.8191540461293146
Arl4c,-1.5842843,0.1791510053943288,0.8996128020373015
Spint1,-0.24520758,0.08569731420632748,0.8191540461293146
Dmpk,-1.0274074,0.17892068571114883,0.8996128020373015
Gtf2e2,-0.39163893,0.08559420247802313,0.8191540461293146
Prrg1,-2.431095,0.1791495916456264,0.8996128020373015
Cped1,-22.609291,0.08564421295599252,0.8191540461293146
Pou5f1,-1.4060423,0.17856842543902815,0.8996128020373015
Ifit3b,-22.585978,0.08562340634167588,0.8191540461293146
Pdia6,-0.15502746,0.17816648721809197,0.8996128020373015
Gm15635,-22.733847,0.08554320330428904,0.8191540461293146
Ffar1,-23.327972,0.1791443308567262,0.8996128020373015
Gm15860,-22.638048,0.08550078943229177,0.8191540461293146
Gm20939,-2.3619673,0.17862092611752717,0.8996128020373015
B3gnt6,-22.42595,0.0854705947203027,0.8191540461293146
Haus6,-1.0023874,0.17734467736117723,0.8996128020373015
Setdb2,-1.0873631,0.08510256482781847,0.8191540461293146
Kbtbd8,-1.033377,0.17716098725647403,0.8996128020373015
Gltp,-0.3102796,0.08510800114242975,0.8191540461293146
Spag5,-0.7091202,0.17680283607159927,0.8996128020373015
Acnat2,-22.537891,0.08508205903741661,0.8191540461293146
Zswim4,-1.2599072,0.17683198920923882,0.8996128020373015
Gm16191,-23.173807,0.08503784026647221,0.8191540461293146
Sox5,-23.319212,0.17740167647066035,0.8996128020373015
Crip1,-0.22475192,0.085303148469335,0.8191540461293146
Gm17541,-1.2149769,0.17665216353776395,0.8996128020373015
2310074N15Rik,-22.47449,0.0848833143079146,0.8191540461293146
Slbp,-0.2732974,0.17625075344250202,0.8996128020373015
Anxa2,-0.2936112,0.08491555992747636,0.8191540461293146
Nkiras1,-0.39999142,0.17625734340165497,0.8996128020373015
Tmem63a,-0.6044005,0.08463499789910042,0.8191540461293146
Sp140,-2.3471112,0.176856515123664,0.8996128020373015
Strn4,-0.47813645,0.08473601470666514,0.8191540461293146
Stx2,-22.983986,0.17693578095624085,0.8996128020373015
