gene,p.value,logfc
Ndufa3,5.8711057236701666e-05,0.30253175
Atxn10,0.0013142019573297694,0.3464206
Ctsc,6.070053657615201e-05,0.5103322
Erich4,0.0013475974065722575,0.881921
Lrrc58,6.068131554685196e-05,0.39200172
Rpl10,0.0013534121787704256,0.093611754
Cbx5,6.178754457814082e-05,0.47162965
Psmc2,0.0013628457314281358,0.28115508
Ccl25,6.164432560724674e-05,0.6977428
Psmb7,0.0014102851688241873,0.22161882
Krt23,6.24019062430516e-05,0.5117444
Hpgd,0.00144321874046534,0.58445406
Gm10250,6.300051917628473e-05,0.33917126
Top1,0.0014397549005505958,0.23192124
Ndufa13,6.538822315990977e-05,0.22027834
Kti12,0.0014693602060861526,0.47740588
Tbck,6.577486652054835e-05,0.8721003
Skp1a,0.0014645547012890536,0.2006251
Chdh,6.66897316839054e-05,0.40040976
Vmp1,0.0016319474882949049,0.31223664
Uqcr11,6.8179286283509e-05,0.23996545
Gcnt3,0.0016484622506396207,0.69636476
Adar,6.762032660273865e-05,0.88998187
Gadd45g,0.0017183883113309096,0.4338389
Hist1h2ae,6.957828147925873e-05,1.1057922
Zg16,0.001734330020383319,0.3182859
Hjurp,7.110257142858519e-05,0.58435726
Ubc,0.001739945460051881,0.19720736
Myrfl,7.172369455105792e-05,0.71854323
Mrps6,0.0017626549406038784,0.43859395
Cdc42ep5,7.50053204961161e-05,0.4967464
Sin3b,0.0017905793569083638,0.29670498
Cpne3,7.49700130643166e-05,0.3998384
Inpp5j,0.0018267371547318893,0.23105042
Slc9a9,7.57290150785313e-05,0.9349753
Creb3l3,0.0019025023769631757,1.3582535
Zbtb7a,7.97515100829145e-05,0.3600164
Anp32a,0.0018894228126045377,0.20802298
Myh14,7.973334115796854e-05,0.45892045
Zc3h15,0.0019396847490445398,0.22696652
Cbx3,8.270900239249696e-05,0.49822566
Fos,0.0020348824842550592,0.92759734
Lypd8,8.301020923330664e-05,0.4698604
Nsun2,0.0020765709654007834,0.41853225
AU040320,8.751652610994827e-05,0.67786425
Carkd,0.0020849720903484076,0.3063933
Plxnb2,9.015340108877987e-05,0.61220187
Slc23a3,0.002187869614715514,0.46107268
Clca3b,9.050659323334278e-05,0.66560936
A130010J15Rik,0.002206324690582277,0.6666415
Cpeb4,9.503417318955125e-05,0.6346006
Plgrkt,0.002278188922518746,0.26422942
Wdr89,9.589100205039614e-05,0.23139724
Gm15292,0.002324837588612064,1.3423407
Ost4,9.862764250800801e-05,0.28460902
Rbm42,0.0023358358690748777,0.2798992
Irgm1,9.751220616327518e-05,1.0518155
AI467606,0.002380402093013795,2.0402932
Rpl38,9.83844140300069e-05,0.13675508
Mrps31,0.0024173718413756035,0.36785218
Fam177a,0.00010173707673594206,0.4764277
Sdsl,0.0024471774849225284,0.35215825
Pcgf2,0.00010116243886290143,0.9862695
Vav3,0.0025948492026547153,0.55410784
Kmt2e,0.00010307793441401235,0.36107787
Atp6v0d1,0.0025954839476676848,0.31065366
Pof1b,0.00010231399887424354,1.1211358
Eif4a1,0.0025996852123522677,0.15843797
Gsta3,0.00010560794504755366,3.8582726
Tmem158,0.0026075236629078454,0.36452675
Ano6,0.00010385744885049387,0.48991653
Pirt,0.0026811610142833658,1.9023856
Lzts3,0.00010679124505774406,1.2902514
Atp5a1,0.002738929185320409,0.11751287
Inpp5d,0.00010762212377803346,0.480614
Anp32e,0.002875567528730136,0.344194
Cdx2,0.00011025013702678114,0.33940575
Inpp5f,0.002931652851897844,0.9841509
Uqcr10,0.0001106948516219971,0.18420611
Tcp1,0.002912978899335898,0.19218495
Cdh1,0.00011267759655342984,0.30313015
Chuk,0.0029300069780696667,0.42560032
Cdk13,0.00011419750027380002,0.81452554
Rps4x,0.0029441533853568715,0.1181217
Tnrc6b,0.00011476522025247212,0.5217362
Cops5,0.0030186618609927434,0.2594849
Gpx1,0.00011863146610896174,0.27195716
Atg101,0.003092388007166244,0.31602302
Pabpc1,0.00011940057884448318,0.2082032
Cyp4a10,0.0032367485948597997,24.12789
Atp8b1,0.00012457189716032514,0.47083262
Rab3d,0.0031997992546570994,0.28109977
Suz12,0.00013233431593446274,0.59810454
Itpa,0.003264135619569007,0.29593745
Gm21814,0.00013311496998230751,2.7440538
Marcks,0.003315467061172358,0.3365766
Gp1bb,0.00014638347443627207,1.0426557
Psmd12,0.003318511016842014,0.2963405
Susd6,0.00014903091695356023,0.90181285
Gfi1b,0.0033774265479241472,0.41996282
Slc4a7,0.00015014589816794016,0.4343933
Rpl4,0.0034229891868267333,0.11098696
App,0.00015120712275088673,0.4678482
Tsn,0.003488862755050476,0.25057805
Ccser2,0.00015424211746845024,0.4975396
Irf2bp1,0.003503693192931509,0.51174474
Snrnp25,0.00015868565009619602,0.38152522
Traf4,0.0035128001757655327,0.3122527
Kmt2a,0.00015843458990053865,0.39412203
Tuba1c,0.003544208413357663,0.2992802
Atp1b1,0.0001587831472144476,0.19881192
Rpl7,0.0035641940103402305,0.09162226
Prr15,0.00015997497797962378,0.54233295
Nek3,0.0036607391266852167,1.2800208
Tmem8,0.00016028434142187806,0.6269951
Tceal1,0.00373441185504876,0.88552296
Trak1,0.00016183657790954905,0.4408273
Gstm5,0.00374657084844334,0.29630452
Aoc1,0.000162125324621578,0.83800876
Rps5,0.0037958209932648975,0.11635181
Acap2,0.00016681986754132804,0.8801685
Actl6a,0.003888278927014291,0.31502149
Vac14,0.00016690631705846694,0.9826383
Rpl14,0.0038976049756667824,0.086860426
Adck3,0.0001689273396334798,1.0354229
Dzip3,0.003989159470710138,1.1272249
Rps18-ps3,0.00017107049904230772,0.30861276
Eef1d,0.003958242341104073,0.15712541
Atp9a,0.00017432189376983826,0.45250434
Stard10,0.004040589465739441,0.24409606
Larp1,0.00018093976589690603,0.5498127
Psma7,0.004047755215451569,0.13687581
Trim40,0.000181280483495536,0.4946147
Pxmp4,0.004211271394123251,0.4119104
Cep350,0.00018141887826989158,0.74400973
Tmem86b,0.004243064061808487,0.5020711
Luc7l2,0.00018365189663251163,0.36952618
Kctd14,0.004594350964638034,0.6934269
Agr3,0.00018255187838925712,1.6260628
Prlr,0.004608094492751913,0.48379233
Iars2,0.0001883982339316084,0.7702295
Tfg,0.004668250601534202,0.26795694
H2-D1,0.00018963933370693667,0.29389474
Mgst2,0.004687370583627198,0.30345485
