,logFC,P.Value,adj.P.Val
Abhd17b,-0.5374511,0.04306125184751874,0.5131598183703244
Jph4,-20.48814,0.018427603926416184,0.34087187768306487
Birc5,-0.45854622,0.042797432936861994,0.5119668407076078
Elp4,-1.2062167,0.01837111873586873,0.34061316359389054
App,-0.41605398,0.04274301593571446,0.5116641819062059
Cldn8,-20.727001,0.018323810294173997,0.34061316359389054
Kctd9,-2.140996,0.04291777290692334,0.5123600701721223
Tppp,-1.9626263,0.018292661084851055,0.34061316359389054
Tk1,-0.744482,0.04269377755296691,0.5114231444705437
Nanp,-2.8546638,0.01828216430990047,0.34061316359389054
Zfp85,-22.050928,0.042901226561927394,0.5123600701721223
Dnaaf1,-2.8494625,0.018174300046570585,0.34040043664059155
Cep170b,-0.6257536,0.04263217050799681,0.5114231444705437
Apbb1,-20.537836,0.018189040573921098,0.34040043664059155
2410015M20Rik,-0.24935414,0.042591210507968456,0.5114231444705437
Tm9sf4,-0.6370098,0.01823505018931159,0.34061316359389054
Tmem256,-0.26480877,0.04255422313935655,0.5114231444705437
Gm15491,-2.6541657,0.017915633304984236,0.3373970932809144
Aplp2,-0.49582484,0.04254541716427689,0.5114231444705437
Hspa8,-0.2183734,0.01816648315109013,0.34040043664059155
Rabep1,-0.78644323,0.04246497846912751,0.5114231444705437
Hsd17b7,-1.0547966,0.017895227737044682,0.3373970932809144
Hist1h4i,-0.5945122,0.04233413483159032,0.5109462578266049
Angptl4,-1.3279605,0.01787877775849985,0.3373970932809144
Ndufb11,-0.21819724,0.04216613261963922,0.5099693382828079
Pycr2,-0.36098766,0.01792289779424741,0.3373970932809144
Suv39h2,-2.5136104,0.04238497114099994,0.5112087150726095
Gm42749,-20.323648,0.01761324879330142,0.33466638755349953
Hipk2,-0.89135677,0.042054961768875014,0.5089750985980996
Rhod,-3.1195207,0.017481159325360977,0.33318482952773154
Ngfrap1,-0.4020304,0.04176673955947635,0.5076018784546611
Ube2d2a,-0.33343494,0.017717914136421428,0.3362385584442049
Thra,-0.73293835,0.04182595572767025,0.5076018784546611
Adgrg2,-20.790607,0.017411551694762186,0.3329414558564264
Sdhaf4,-0.5312398,0.04173620153971774,0.5076018784546611
Mia,-0.68737316,0.017616025066123434,0.33466638755349953
Rnf145,-1.3747219,0.04172514459777423,0.5076018784546611
Mcm8,-2.5426767,0.017311972403417555,0.3329414558564264
Tnfsf10,-2.8919904,0.04180237341132881,0.5076018784546611
