,logFC,P.Value,adj.P.Val
Rlim,-0.31229532,0.021467915775701882,0.16373944614861508
Ascc1,-0.13232021,0.21910973892588123,0.5891088497773119
Cfp,-1.735555,0.0214907910845139,0.1637966874654541
Wdr60,-0.30631912,0.218729901987758,0.588447729276006
Ahcyl1,-0.23558608,0.02146139854209048,0.16373944614861508
Ccl9,-0.28107,0.21866676627201714,0.5883679503442286
Larp4,-0.2868289,0.021437420522185308,0.1636489100071079
Sox11,-0.7067698,0.2186576762953159,0.5883679503442286
Tpm3-rs7,-0.577426,0.0214228267611563,0.16360857656401548
Hacd3,-0.15053758,0.21758274325402854,0.5865288460197949
Tcf12,-0.2602238,0.02140703056888959,0.16355902095091163
Rprml,-0.21032082,0.21753456756883918,0.5864889468989277
Ralgapa1,-0.45167473,0.021368513365324193,0.16333574831180603
Nupl2,-0.3017422,0.21733535227906917,0.586041759337131
Wls,-0.31355822,0.021308527344244793,0.16294810749365266
Guca2b,-0.20304029,0.2171852317530093,0.5858743167402211
9430038I01Rik,-0.3953029,0.021157979622117486,0.16186729468849392
Coch,-1.6917768,0.2171924219184074,0.5858743167402211
Tmem11,-0.21306774,0.021149823520805428,0.16186729468849392
Ddrgk1,-0.102260284,0.21692710942675358,0.5854314686591815
Slc9a2,-0.74478984,0.021133955941607243,0.16182440425353556
Gm10827,-1.1581722,0.21673162527923465,0.5852220115291933
Acsf2,-0.8337818,0.021113477726047127,0.1617380750130018
Fam221b,-1.272684,0.21665138597391603,0.5850952521468613
Trim8,-0.34792742,0.021105261125407074,0.1617380750130018
Lsm12,-0.11327102,0.21626643435116355,0.5845814081685251
Txn2,-0.15696485,0.021088882338759204,0.1616906323468654
RP23-455C13.7,-1.7979267,0.21615388995618962,0.5843859123634768
Tcp11l2,-0.6044987,0.021084390808337062,0.1616906323468654
Sdk2,-2.2049344,0.21615594550518405,0.5843859123634768
Cenpb,-0.2626848,0.021079323093928216,0.1616906323468654
Kiss1r,-2.252077,0.21604735674819037,0.584362044041242
Kdm5d,-0.43834648,0.020979756093730425,0.16113516338947761
BC018473,-0.9163741,0.21578185932635613,0.5839135531170397
Dclre1a,-0.68320084,0.020978806564967638,0.16113516338947761
Cmip,-0.11039198,0.21572300680267317,0.5838442012233753
Rap2a,-0.56327474,0.020897280312537132,0.16064212901671698
Rpl21-ps4,-0.85490423,0.21549578832516314,0.5834988425636506
BC003965,-0.2219079,0.02086599328538079,0.16047181619430925
Plk2,-0.7813682,0.21546639049501587,0.5834988425636506
Zfp65,-0.59957546,0.02086355049822659,0.16047181619430925
Tcf3,-0.12646353,0.21523987164634528,0.5831242210884207
Azi2,-0.25259554,0.020845585481506442,0.16045531041021144
Gm26720,-2.2450106,0.2152666233595782,0.5831242210884207
Ext2,-0.3300361,0.020804201602273725,0.16020693898192645
A230072E10Rik,-0.6283884,0.21507580578380384,0.5829904573559748
Setd1a,-0.5054713,0.0208040116107347,0.16020693898192645
Plin2,-0.12068716,0.21503689631413478,0.5829904573559748
Phc3,-0.47872,0.020787268441670812,0.16020693898192645
Gm30173,-2.1638443,0.21499179300001642,0.5829904573559748
Smagp,-0.2236789,0.020741162617619716,0.15993174667811816
Habp4,-0.27710566,0.21486948297423628,0.5829904573559748
Ank3,-0.5059811,0.020726683923983514,0.15989026189471567
Dbn1,-0.20224874,0.21476078760155118,0.5829904573559748
Trp53rka,-0.3990937,0.020716207061509364,0.1598796252489697
Ntmt1,-0.14395364,0.21473769974300638,0.5829904573559748
Mgst1,-0.23439047,0.020686861783291516,0.15972329618531714
9530046B11Rik,-1.5745809,0.21431549045723047,0.5825469626921749
Pkp4,-0.364824,0.020655134024807825,0.15961858848634475
Vps51,-0.16954793,0.21412823244315815,0.5822531281060395
Bhlhb9,-0.5420232,0.02064001894826227,0.15957195467567659
Rasd2,-0.2708918,0.21407871899775383,0.5822531281060395
Wwc2,-1.9896704,0.020679143907272594,0.15972329618531714
Gm28151,-1.2796689,0.2141411237096303,0.5822531281060395
Hist1h4c,-3.3122082,0.020608755645294585,0.1594003798216381
Slc25a17,-0.15245059,0.21403034090340003,0.5822221641943419
Zfp148,-0.27956498,0.020500386710178373,0.1587018923603368
Gm17196,-2.2434912,0.2139460172910758,0.5822108364960279
Dmbt1,-0.34964803,0.020491395465045276,0.1587018923603368
Zfp36,-0.23228134,0.2137975002366128,0.5820714970845183
Strn4,-0.30219385,0.020475203625199084,0.15864671662505447
Atg101,-0.13956626,0.21378438597698182,0.5820714970845183
Cxcl16,-22.255407,0.020594654226472647,0.15936145254152526
Chd7,-0.10810811,0.21358258508928168,0.5817245455322299
Ube4b,-0.3036031,0.02044421790469907,0.15847650694277757
Tmem55a,-0.15912363,0.21304462613054892,0.5808002801983325
Gopc,-0.4371507,0.020333651776027018,0.15775861486098136
0610039K10Rik,-1.3238286,0.21304493291745585,0.5808002801983325
Usp43,-0.5020541,0.020236580762949426,0.15707483822761056
Slc6a9,-0.5665578,0.2129573631295937,0.5807417353004889
Clybl,-0.42367467,0.020209955687062756,0.15695681212745294
Cnot11,-0.19017804,0.2128879804353179,0.5806765120318259
Creb1,-0.2960253,0.020201598616044855,0.15695681212745294
Zfp78,-2.2156558,0.21231086715851102,0.5796983947446418
Tspan12,-0.28446877,0.020200916536045888,0.15695681212745294
Zfp846,-0.53753173,0.21214437875102887,0.5795005327351685
Vwce,-1.536262,0.020204193833546196,0.15695681212745294
Armcx6,-2.2318344,0.21217244793820492,0.5795005327351685
Irak4,-0.44264454,0.020175742040100832,0.15695681212745294
Gm26724,-0.31295556,0.21117210657877641,0.5777560997834092
Akip1,-0.35691112,0.020172935572724992,0.15695681212745294
2700029M09Rik,-0.13863677,0.2108878203172236,0.5774278071727283
Poglut1,-0.4911086,0.02015305469235232,0.15695681212745294
Sertad2,-0.19634843,0.21088123590105917,0.5774278071727283
Prrg1,-1.6559914,0.020099876465162213,0.15663642089680513
Ptrh1,-0.30177256,0.21077226456875606,0.5774278071727283
Plekha8,-0.43908212,0.019953848697703606,0.15571019731470886
Pirt,-0.84409624,0.2104474180739959,0.5769411041832028
Cdh26,-1.9353646,0.01996444498415048,0.15571912636772142
D3Ertd254e,-0.31684992,0.21035008021068832,0.5769411041832028
C77080,-0.38393483,0.019912547345322874,0.15552141977749281
Fam192a,-0.12889218,0.21015363894242614,0.5767655625699288
Creg1,-0.22583975,0.019843367955712468,0.15518803074576556
Lamtor5,-0.080714606,0.20959712993338567,0.575867786791649
Fam159b,-22.719204,0.019954439444188492,0.15571019731470886
Gtpbp2,-0.15999296,0.20944498353147978,0.5758161545091719
Tceanc,-0.9166481,0.01982831269740858,0.1551393317148535
Gm8994,-0.9663945,0.2094701629040039,0.5758161545091719
Gstt3,-0.36891142,0.019718536737219076,0.15441793497466616
Cers2,-0.14039303,0.2090915409835183,0.5755585290888733
Agpat2,-0.3176509,0.019683975543160627,0.1542847913559151
Ofd1,-0.29022983,0.20875198259546515,0.5748039157239281
Arhgef5,-0.3665276,0.0196765051215501,0.1542847913559151
Tril,-1.591955,0.20870161204554818,0.5748039157239281
Polrmt,-0.56433475,0.01965698156557482,0.15421077546957423
Acsl3,-0.22748594,0.2083052272616537,0.5743837688167333
Aplp2,-0.24629888,0.019629660624445648,0.1541103957936646
Gm15441,-0.42168614,0.20801927340751628,0.5736852937210112
Zfp467,-0.5918272,0.019531442512589144,0.15357215754593959
Tmem126a,-0.11106361,0.20775208800422912,0.5733083295380526
2210406O10Rik,-2.042998,0.019565618977248775,0.1537686146186014
Foxo6,-0.6245635,0.20763293700972746,0.5731595353553158
Plekha2,-0.39594796,0.019528090553970368,0.15357215754593959
Airn,-0.21831283,0.2072242567381911,0.5725223804903801
Zbtb25,-0.7462575,0.01953188255364337,0.15357215754593959
Wrap73,-0.17276229,0.20715210824773778,0.5725223804903801
Gm16143,-1.3366631,0.019526862697979954,0.15357215754593959
Snrpa,-0.0979485,0.20702521671525106,0.5723810782468702
Map3k4,-0.41861287,0.019453204694807994,0.1532964870411932
Fzd3,-0.62694275,0.20690738527142868,0.572235360619266
Gcc2,-0.21722251,0.01944564408697887,0.1532964870411932
Gm5103,-1.7113967,0.20648809695890943,0.5713990784672132
Rgl3,-2.0056655,0.01947771420127174,0.15342082996815254
Nmral1,-0.18067113,0.20606316507274122,0.5707089046214786
Fam221a,-0.5599861,0.01943255490759035,0.1532964870411932
Ap2s1,-0.07903023,0.2058710636040827,0.5703566452332564
Fdxr,-0.48015645,0.01931555644914161,0.1526910811879287
Gm17399,-1.3855247,0.20576032271454786,0.5702433958510932
Aspa,-1.691366,0.019330758795657706,0.15274254690471803
Melk,-0.30541593,0.20568883965952472,0.5702242150549415
Dbi,-0.19771402,0.019219432133611884,0.15206802381087872
Frat2,-0.12313891,0.20559113482539337,0.570210387040189
Cacna1c,-0.7991156,0.019184820813937565,0.1518625478213175
Nalcn,-1.879634,0.20553793310309043,0.5701528174302459
Taf1,-0.36183763,0.019165383749685436,0.1517770566170447
Tcf24,-2.529848,0.20526354832143123,0.5698414430730665
Zfp827,-0.5494276,0.01915832812301086,0.1517770566170447
Gm996,-2.2178771,0.20514304691956117,0.5695968973799097
Vps39,-0.70337003,0.019127632252395464,0.15161474134927627
Trp53inp2,-0.21927257,0.2049528836166855,0.5691588217123917
5730508B09Rik,-0.5728913,0.019070553692971462,0.15129879911809818
Atp1b3,-0.143885,0.20495217432680435,0.5691588217123917
A230050P20Rik,-0.65776545,0.01905715282276741,0.15126077080148678
Edf1,-0.06383235,0.20466086494773686,0.5689008210953995
Tmem79,-0.602093,0.01900872932490794,0.15101416274545387
Nudc,-0.0906463,0.2046319508738796,0.5689008210953995
Cat,-0.25348395,0.018968792576440213,0.15090022270067172
Hps4,-0.19067162,0.20450225126513227,0.5687828265887334
2610002M06Rik,-0.36190522,0.018966354642648106,0.15090022270067172
Gm26944,-2.2120457,0.20417498168493864,0.5681657883055308
Gata6,-0.24468628,0.01896031235299221,0.15090022270067172
Ciao1,-0.15564598,0.20392358435631688,0.5678258830444552
Agxt,-1.3759624,0.018950625781565755,0.15090022270067172
Alg5,-0.123603664,0.20384206934669014,0.5676888565181277
Nudt7,-0.4922202,0.018936753268862166,0.15090022270067172
Ankrd23,-2.24482,0.20382883981645508,0.5676888565181277
Madd,-0.42224503,0.018935726421311718,0.15090022270067172
Gm8251,-1.1808337,0.20338831870973967,0.5670766930806663
Ttc37,-0.7849658,0.01893197301270286,0.15090022270067172
Cldn9,-0.8218303,0.2029809393884138,0.5662697675147134
Dok1,-0.5978525,0.018925060768599736,0.15090022270067172
Kcnab3,-0.7669668,0.202969297302552,0.5662697675147134
Hibadh,-0.25377318,0.018915575310421436,0.15090022270067172
Sh3bp1,-0.53719777,0.20233520713896844,0.5654638350911406
Appl1,-0.40425792,0.018855669147271516,0.15081845185519313
Foxa2,-0.15117504,0.20214481883116928,0.5650763545763132
Dffa,-0.44364616,0.018828426229911883,0.15067027966222293
Gp1bb,-0.38912192,0.20206272482587917,0.5650763545763132
Polr2h,-0.21761143,0.01881578325137634,0.15063770345167946
Med26,-0.3289981,0.20191587144771286,0.5648308833095603
Cldn34c1,-22.499435,0.01877183263272438,0.15035433676156132
Egf,-0.84552056,0.201709163349052,0.5643424816960502
Irak1bp1,-1.3368753,0.01863292651107346,0.1493098119375713
Miat,-0.28412214,0.20168426784068116,0.5643424816960502
1700017B05Rik,-0.6060985,0.018616562903561763,0.1493098119375713
Myl7,-0.21578461,0.2014423359163466,0.5640449600156086
Mgmt,-0.6089972,0.018599184947487968,0.14924359684118998
Mcph1,-0.34330258,0.20139100047575104,0.5640449600156086
Dcp2,-0.36457744,0.01847610486623111,0.1483914948876962
Gcnt1,-1.4094086,0.20133355635511066,0.5640449600156086
Gzma,-2.4152496,0.01847076629331939,0.1483914948876962
Bcdin3d,-0.246851,0.2011781073264491,0.5640240714817629
Vmac,-0.6285905,0.01836972382669233,0.14772122983485242
Crlf1,-0.27684888,0.20108200848909802,0.5638470976835556
Helz,-0.278422,0.01833730053389937,0.14761400929098195
Atf5,-0.2950128,0.20100467861440455,0.5638470976835556
Slc6a4,-0.7812497,0.018322061153598936,0.14755892788826494
Stac,-0.5986992,0.20097063738167217,0.5638470976835556
Sult1a1,-2.4837692,0.01837128539088826,0.14772122983485242
Grk5,-0.27903792,0.20063815252911402,0.5634091170332567
Ski,-0.37610134,0.018304676556677602,0.14748651129321205
Thap11,-0.15842336,0.20054450147155034,0.5632361394213767
Prosc,-0.3041629,0.018298359721196637,0.14748651129321205
Hnrnpm,-0.07682432,0.2002356265041122,0.5626384177417275
Tcirg1,-0.61624986,0.018279372957452925,0.1474489175494691
Lysmd3,-0.31382248,0.2000757245327211,0.5624589197270049
Arhgef1,-0.34921554,0.018249985882763615,0.14731603211658476
Atg4c,-0.31874222,0.1996696582345372,0.561676789523855
Fam188b,-1.5598003,0.018190714915443336,0.1469050704085872
Grhpr,-0.14427075,0.19915433359617726,0.5608556256867986
Rpl27-ps3,-0.12389472,0.018118061534748854,0.14642111962396465
Shb,-0.23707938,0.1991335836650225,0.5608556256867986
Tcf7,-1.167161,0.018122456904462705,0.14642111962396465
Wdr53,-0.25567192,0.19907800529849512,0.5608267007467764
Slc18a1,-0.52804327,0.018065179296497515,0.1460926809835945
Cdc37l1,-0.20244044,0.19870757221901855,0.5605866100865073
Rab24,-0.26558447,0.018010110254966977,0.1457815142839865
Anks3,-0.2656775,0.19857041234102366,0.5605586917379612
Galc,-0.9478966,0.01798463862209657,0.1456424214313839
RP23-32A8.8,-20.996586,0.1986351782485314,0.5605614240182178
Ppp1r9a,-0.37009305,0.017940751703412014,0.1454210469022414
Rhoh,-22.038359,0.19838237605865772,0.560207857059102
E4f1,-0.50440824,0.01791062016018459,0.14524380621823896
Prdx1,-0.059814304,0.1977137421574541,0.5590383895306422
Cthrc1,-22.485556,0.01797318190938392,0.14561674766878913
Hint3,-0.17569226,0.19703387673648542,0.5575646241369175
Rab23,-0.8025634,0.017845981062012427,0.14478643822841383
Gm17039,-20.936907,0.19696903138788027,0.5575606940366011
BC052040,-0.8456284,0.017845418990383763,0.14478643822841383
Otud7b,-0.230219,0.19669648252143776,0.5570583863576513
Ralgapa2,-0.32368317,0.017774468153934204,0.14440625467826435
Ewsr1,-0.09506437,0.1966912449120752,0.5570583863576513
Ppfibp2,-0.42073026,0.017714167270995243,0.14398291464070279
Arhgap6,-1.1217235,0.1964999497873535,0.5567751641100984
Gm17491,-0.6660543,0.017704714071721854,0.1439726702370977
Ptpn12,-0.26272863,0.19643328109752672,0.5567751641100984
Aldh1b1,-0.17921579,0.017623604057563896,0.14357885679349575
Gfra1,-0.73838484,0.1964458137336077,0.5567751641100984
Esco2,-0.71653885,0.01757675334414316,0.14326358372756387
Gm43597,-1.832599,0.19642538048834704,0.5567751641100984
Oas1a,-0.7315215,0.017510942036060864,0.14279340343373437
Aurka,-0.32350639,0.19611743579068894,0.5564947035604354
Ndufs6,-0.14022525,0.017490189682793412,0.14270694727052052
Snapc1,-0.2523872,0.1960897673458496,0.5564947035604354
Crym,-0.96216387,0.017492218996227236,0.14270694727052052
Diaph3,-0.4708585,0.1959027163588281,0.5561548359569768
Cxadr,-0.279409,0.017471344024864183,0.14267458794717824
Cdkn2aip,-0.24070291,0.19541931490090453,0.555500423932966
Pcgf5,-0.46214417,0.017376961759326025,0.1420303948821564
Nsfl1c,-0.1163244,0.19529575996840778,0.5553288656836295
Ankrd12,-0.3066537,0.017355383142430923,0.14192003162491326
Slco4a1,-0.34636793,0.1952155937424401,0.5552806132787148
Pafah1b3,-0.18554057,0.017293458077656306,0.14151789156705094
9430065F17Rik,-0.9511235,0.19526876274623314,0.5553288656836295
Dyrk3,-1.019423,0.017298152340865274,0.14151789156705094
Xylt1,-0.3692616,0.19521143812641822,0.5552806132787148
Prim1,-0.3355557,0.017268312445844397,0.14140543085313306
Gm13203,-0.6258225,0.1952068457158167,0.5552806132787148
Mpp7,-0.6228618,0.01725299501033496,0.1413458654156719
4921507P07Rik,-1.1746349,0.19516979932955955,0.5552806132787148
Erdr1,-0.40603545,0.01721176535006994,0.14107385844066186
Zswim1,-0.3477857,0.19503375682339966,0.5552127342714405
Apbb2,-0.38447702,0.01716388111684351,0.14087850671008453
Clcn6,-0.70620316,0.19502545350105518,0.5552127342714405
F3,-1.9962667,0.017195183785457105,0.1410684134196888
Ptar1,-0.69104105,0.19473044136735124,0.5546914316355293
Zfyve21,-0.3110101,0.01713917375413414,0.14080724655511886
Zcchc10,-0.27267218,0.1945979741793476,0.5546010704271287
Ak3,-0.25612786,0.017133833161733367,0.14080724655511886
Pcdhga12,-0.41189882,0.19454847068455183,0.5546010704271287
Rrp9,-0.3548449,0.017120144958115906,0.14080724655511886
Ccno,-2.346671,0.19457389864214303,0.5546010704271287
Foxred1,-0.48128575,0.017091231334738263,0.14067644414302366
Gmppb,-0.15274742,0.1943062660020186,0.5543977879278288
Wfdc9,-22.210354,0.017203073462607014,0.1410684134196888
Fopnl,-0.14291671,0.19404848935276933,0.554165978019722
Atxn1,-0.50903934,0.01707682743860797,0.1406237528484807
Snca,-2.3938625,0.1941355436795714,0.5542719592333238
Eri3,-0.3656658,0.017070930173457233,0.1406237528484807
Cep78,-0.27863404,0.19393034075280266,0.5539560920105658
Rcor1,-0.32979006,0.0170084326755428,0.14025771347128746
B3gnt3,-0.20663075,0.19365376553609662,0.553592974142231
Cx3cl1,-0.68284017,0.01697379298093387,0.14003777655115066
Ly6g5b,-2.31339,0.1932012961976359,0.5530422508683915
P2rx4,-0.34559634,0.016970185013998444,0.14003777655115066
Vpreb3,-1.0609353,0.19290289324058582,0.5524045321281673
Emp3,-22.274405,0.017053277315438306,0.1405615582852708
Kbtbd4,-0.27142793,0.19257798124251158,0.5520673514477415
Cd302,-0.38123417,0.016921728125087864,0.1397394400104178
