gene,p.value,logfc
Rpl23,2.1963715656324462e-17,0.112897955
Edf1,5.64674861647098e-19,0.20020208
Fabp6,2.6394490042909184e-17,1.381224
Gm15293,8.594124579830304e-19,1.5568159
Mt1,2.608792404723845e-17,0.4695757
Vcp,5.562756320501144e-18,0.26754108
Irgm1,4.250833578637366e-17,0.7619135
Guca2b,7.281910183922753e-18,0.4539974
Rpl29,1.5563774756565427e-16,0.12888698
Ahsa2,9.50266033771445e-18,0.5651172
Rps14,1.8929392534910297e-16,0.12523638
Gsto1,1.5321655550391677e-17,0.31332663
Gm10076,2.8873159106036106e-16,0.18324201
AI467606,2.9134775908875505e-17,1.5162953
Rpl22l1,3.9508230819510354e-16,0.14878356
Chchd2,3.5821759287720885e-17,0.13573584
Bex1,4.332628764292807e-16,0.9921734
Ttr,3.907131059877103e-17,0.38044223
Chchd10,6.452611511163906e-16,0.26020852
Wnt3,5.4937591154197855e-17,0.75526416
Snhg6,1.2205185945249361e-15,0.4643404
Sec13,6.249609005984258e-17,0.31964153
Cox6b1,1.2122511560083667e-15,0.15087987
Hras,6.789833657217014e-17,0.3407857
Gm26917,1.3453259162587937e-15,0.45065844
Chordc1,7.56379042567216e-17,0.54850894
Gltscr2,5.077751243405393e-15,0.26400343
Eci2,8.175290162958519e-17,0.40811607
Gm9493,5.242761229703294e-15,0.29384008
Dnajb1,1.0959650064456012e-16,0.51555574
Gcc2,8.183997783190994e-15,0.27415255
Ctnnbip1,2.0042391341307802e-16,0.40536854
Pabpc1,9.93261927673816e-15,0.16759905
Krt8,2.1823596257129884e-16,0.19235486
Uqcr10,1.0023206810459484e-14,0.1801187
Fos,2.464598651995173e-16,0.5683084
Grcc10,1.1182577556866986e-14,0.4929085
Acadl,3.230177698836501e-16,0.47142252
Alyref2,1.1661018417565964e-14,0.6450558
Rnf11,3.302589140858545e-16,0.47785476
Rasa4,1.1778665251556986e-14,0.36607683
Ech1,3.4921359736651744e-16,0.25800267
Rps23,1.4445346008880137e-14,0.1247713
Cotl1,6.147536995881981e-16,0.34160793
Pla2g16,1.4680969090471636e-14,0.36743605
Bag3,1.2271848233028591e-15,0.5448771
Dstn,1.5523764844567833e-14,0.16065925
Dnajb11,2.5368021201704055e-15,0.30888277
Rps13,1.7882014092201806e-14,0.12779702
Dad1,3.7260133417499524e-15,0.14399435
Tcea3,2.3136088570783416e-14,0.3369563
Pxmp4,3.964603630230242e-15,0.5492364
Zfos1,4.325989564321144e-14,0.32833424
Hspd1,4.012477270467583e-15,0.30246854
Slc5a1,5.493224105884739e-14,1.2783296
Calm1,4.085953170557205e-15,0.14135003
Retnlb,9.629483634057154e-14,2.5690541
Fkbp4,7.728809247322767e-15,0.251719
Camk1d,9.052788438525867e-14,0.81305134
Psmb3,1.4735198297346858e-14,0.23746584
Eml4,9.466396399795914e-14,0.28453937
Hsd17b4,1.909355275813773e-14,0.46024066
Tmem44,1.357733853148229e-13,1.4866997
Psmb2,2.0223614720441996e-14,0.23892562
Car8,1.3204536452505323e-13,0.32044092
Mapk13,3.7837270453518386e-14,0.2131484
Npc2,1.5910171111094674e-13,0.22483194
Arg2,3.920255500982536e-14,0.7430516
Mfsd4,1.7390654799308105e-13,0.8513287
Mthfd2,6.195164780903264e-14,0.49495322
Ivns1abp,1.7836197910771234e-13,0.23288852
Cldn7,6.878227255519322e-14,0.17411679
Nfia,2.2729241776197473e-13,0.50461894
Plpp2,8.240045371212319e-14,0.32702115
Fam213a,2.6290970955248423e-13,0.4725633
Psmc4,1.1834495128660572e-13,0.37330428
Pde2a,2.828481450958522e-13,0.4772541
Hspe1,2.0346021520715143e-13,0.19981498
Rpl18,5.049222708586531e-13,0.09263066
Mtch1,3.0878039695535077e-13,0.28992411
Fam221a,5.724364632675403e-13,0.6117319
Ubc,4.188741232327709e-13,0.23261802
Nsa2,6.237618268329797e-13,0.2753661
Map2k2,4.194499631741145e-13,0.24348164
Rpl11,7.52393177484027e-13,0.10381221
Mettl7b,4.561661048289318e-13,0.5589179
Rps11,1.0977480167263207e-12,0.1100085
Stip1,4.82315187732433e-13,0.40308845
Cyp2u1,1.4729140606308048e-12,0.8473057
Capn9,5.542708182422687e-13,0.42622718
Rpl21,1.5728231848534267e-12,0.10034422
Psma4,6.941111986953678e-13,0.24432698
Dynlt1c,1.640879627348373e-12,0.41705358
Rhof,7.459341502014583e-13,2.4576106
