,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Gm14306,-0.25414568,,,0.9862205827662144,1.0,,-0.25414568
Rgs7,0.14583176,,,0.9862170724358396,1.0,,0.14583176
Ubr4,-0.021184178,,,0.9862135621057315,1.0,,-0.021184178
Gm10550,-0.43457314,,,0.9861854794744818,1.0,,-0.43457314
Gm29562,0.02047261,,,0.986139845235223,1.0,,0.02047261
Lipc,-0.44165683,,,0.9861012316835714,1.0,,-0.44165683
Gm8973,-0.07895337,,,0.9860836800799421,1.0,,-0.07895337
Arhgef9,-0.44377145,,,0.9860661284830482,1.0,,-0.44377145
Gm4755,-0.10026064,,,0.9860204943627067,1.0,,-0.10026064
Arid3a,0.07597228,,,0.9859818809119825,1.0,,0.07597228
Man2c1os,-0.059719734,,,0.9859608190436043,1.0,,-0.059719734
Cd247,0.018940497,,,0.9859432674940962,1.0,,0.018940497
Sirpa,-0.25090256,,,0.9859081644154988,1.0,,-0.25090256
Rell2,-0.09442505,,,0.985883592276709,1.0,,-0.09442505
Hist2h3c1,0.040462844,,,0.9858449789428182,1.0,,0.040462844
Mmp23,-0.13499808,,,0.9858414686413801,1.0,,-0.13499808
1700040D17Rik,-0.11339684,,,0.9857993450455226,1.0,,-0.11339684
Trib3,0.062286418,,,0.9856764847841555,1.0,,0.062286418
1700011I03Rik,-0.24107644,,,0.9855676659791004,1.0,,-0.24107644
Golga1,-0.025717407,,,0.985529052919164,1.0,,-0.025717407
Bhlhb9,-0.07517937,,,0.9854623577137145,1.0,,-0.07517937
Epm2a,-0.05569548,,,0.985437785821504,1.0,,-0.05569548
Slc2a12,-0.42917725,,,0.9853991728759491,1.0,,-0.42917725
Gm14198,-0.028623147,,,0.9852938650167226,1.0,,-0.028623147
Gm9484,-0.025471488,,,0.9852657829641281,1.0,,-0.025471488
Tnfrsf14,-0.017878475,,,0.9850481476781644,1.0,,-0.017878475
Grk4,-0.21720055,,,0.9850446374406912,1.0,,-0.21720055
Fev,-0.18489744,,,0.9850341067300087,1.0,,-0.18489744
Fam89a,-0.17767496,,,0.9849639020588525,1.0,,-0.17767496
Alkbh8,-0.042326506,,,0.984567247870052,1.0,,-0.042326506
Htr4,-0.10231796,,,0.9845110847511511,1.0,,-0.10231796
