,logFC,P.Value,adj.P.Val
Nsa2,0.2688797,2.1797886019638125e-05,0.0012436826331918857
Slc25a20,0.7336637,1.397611268198043e-06,0.00012069473671014641
Clec2d,0.6821028,2.4452819861001496e-05,0.0013641568362456485
Alyref,0.4094655,1.4011111528407141e-06,0.00012069473671014641
Atp11c,1.2153836,2.606615757166966e-05,0.0014449860788862806
Mttp,0.693033,1.5129403034407404e-06,0.00012843913020465762
Rps15,0.080383055,2.6539810173159057e-05,0.0014666166168959876
Prap1,0.46359906,1.4945872117604835e-06,0.00012749699549644163
Rps9,0.08552155,2.8746083331076372e-05,0.0015786091324281409
Hdgf,0.24493685,1.6064521961739691e-06,0.00013516744621862965
Mtus2,1.1945095,2.8669099660350406e-05,0.0015786091324281409
Cst6,0.8645703,1.835531954445897e-06,0.00015359906207370355
Pla2g4c,3.508746,3.1299840774193824e-05,0.0016924064674612555
Acacb,1.8786036,1.9920723233365334e-06,0.00016282179971159488
Cox4i1,0.09724733,3.90619794993451e-05,0.002018929899241151
Nudt19,0.3951596,1.8531845907781837e-06,0.00015361326798936332
Elmo1,1.4074264,4.041619843967179e-05,0.0020767071788899195
H2-K1,0.27398956,1.9269686710855697e-06,0.00015897943876519584
Rpgrip1,0.8234244,4.115515470348554e-05,0.0021085117597794503
Ak2,0.25525567,1.9615569036481725e-06,0.0001610768199430343
Cdk6,0.4428124,4.844915577254917e-05,0.002432562898260019
mt-Atp6,0.12150927,2.275645114414816e-06,0.00018343996144775946
Ost4,0.1949441,5.001819315871914e-05,0.00249707303516526
Defa26,1.139867,2.349559887929527e-06,0.00018853340598440902
Gm10036,0.4408743,4.992472341630206e-05,0.00249707303516526
Pfn1,0.13248587,2.493852542773357e-06,0.00019652229028769598
Oxct1,0.38851124,5.0870161439637916e-05,0.0025181446393767806
H2-Q10,1.1766568,2.6751465813883463e-06,0.00020439282989016263
Gm26917,0.40743756,5.391555704767271e-05,0.0026473737572248646
Hmgb1,0.24412927,2.5599592504080004e-06,0.00020041933358779017
Mfsd4,0.83011115,5.5515838799140646e-05,0.0027174925772069595
Tagln2,0.24288498,2.5661156351933526e-06,0.00020041933358779017
Ndufa7,0.16929547,5.747302298050283e-05,0.002789742655734805
Defa-rs1,1.0325301,2.5926102255161235e-06,0.00020159265262387096
Rps26-ps1,0.2972814,5.987606650869872e-05,0.0028592448824928335
Hsp90b1,0.27242628,2.6322258130831684e-06,0.00020287765005837946
Vipr1,0.48951092,7.818580097926929e-05,0.0036061918126212575
Mlf2,0.31226525,2.6203616455464523e-06,0.00020285293038408724
Gm9843,0.13128187,8.104106658847689e-05,0.0037183672667344763
Srsf2,0.2432471,2.6714773368930104e-06,0.00020439282989016263
Ssbp3,0.4335515,8.521451146572111e-05,0.0038895444415249793
Cdk2ap1,0.40152335,2.848520967532231e-06,0.00021669722494564457
Trim2,0.31694674,8.671028558476893e-05,0.00394756437456255
Tomm5,0.21209782,2.9142562046130466e-06,0.00022074234605028048
Erbb2ip,0.4295642,9.106683612826428e-05,0.004100472332661984
Galk1,0.46335977,3.001017540809304e-06,0.0002263385461143429
Ivns1abp,0.21062483,9.621779326428492e-05,0.004302379849957453
Dhrs11,0.5915992,3.0626306607093045e-06,0.00022999832735318208
Gm13251,1.203711,9.864607601597276e-05,0.00438862656665491
Abhd17a,0.3927734,3.1294788353328626e-06,0.0002340184322268272
Slc2a2,4.4635315,0.00010343898331429625,0.00456716897935208
Aars,0.37368926,3.172350375760015e-06,0.00023621912353063876
Ppp1r1b,0.22162606,0.00013491299632718763,0.005713510089303115
Hspd1,0.23242292,3.229588265181353e-06,0.00023946647503810935
Gm5617,0.49056667,0.0001379499709172982,0.005799509184042299
Dpy30,0.25273445,3.256719541816269e-06,0.00024046358196780373
Fam213a,0.5679577,0.00014829368575105262,0.006189940474354508
Cars,0.79924226,3.5047904827014787e-06,0.000255558851255241
Rpl27-ps3,0.1944187,0.000154991667173892,0.006423746620865104
Ddx3x,0.32528275,3.5275863834611202e-06,0.0002561581632915796
Tifa,0.6229501,0.00015498585600940738,0.006423746620865104
Smc2,0.567991,4.243359716981355e-06,0.0003031242288882657
Rps2,0.07908889,0.00016198969416620623,0.006682265013105028
Mrps14,0.21659385,4.283062547337661e-06,0.00030472169289216485
Bicd1,0.8488457,0.0001634905275384698,0.006702037534613777
Angptl4,1.1473727,4.600621973074683e-06,0.0003246856623808892
Epb41l4aos,0.38996154,0.00016652231608331938,0.0067895514165479615
Cenpa,0.6270371,4.557666539123329e-06,0.0003229511052097349
Gsdmc4,0.7827996,0.00016730849283885346,0.006800054504588429
Acot2,1.0297546,4.766346385868349e-06,0.000335036020155458
Aff1,0.7367583,0.0001864033750193871,0.007394281059177629
Ptpn6,0.82471526,5.7968248138642966e-06,0.0004042365176747511
Kcnh3,1.121415,0.00018623706652147863,0.007394281059177629
Rnf126,0.48521546,6.230895325615423e-06,0.00043278863066023647
Gltscr2,0.20283718,0.00020911525902293622,0.008112102531589532
H2-Aa,2.704406,7.0081952519829274e-06,0.00048020698773086265
