,logFC,P.Value,adj.P.Val
Lrch3,0.38464847,0.004193495492434443,0.022176435837661893
Lactb2,0.36416194,0.0018360424278570132,0.011118116328301618
Rassf10,0.55711395,0.004219623797125849,0.022307896807127723
Zwint,0.20100388,0.0018457181694736596,0.011169010121267432
Leprot,0.17149939,0.004255878530317517,0.022486035301644537
Rwdd4a,0.21866669,0.0018591309029615945,0.011238564622546991
Socs1,1.0880525,0.00426718707688682,0.022539007665203514
Sh3bp1,0.6322323,0.0018801183191460228,0.011353717945825794
Pafah1b1,0.1362377,0.004294388554629447,0.022662249270421403
Rbm26,0.18783686,0.0018872263019557313,0.011388814493223924
Cda,0.14275181,0.00430511595173757,0.022712039213414685
Aco2,0.12050572,0.0018882913868221232,0.01139133008603679
Flcn,0.37290293,0.004311062486476146,0.022736584956436167
Rpap3,0.3527343,0.0018952780742142099,0.011425633481360655
Chga,0.59137917,0.004399955295246326,0.02313597079693707
Pdhx,0.25185755,0.001916849142331761,0.011539838978484424
Wdr6,0.32034656,0.0044027423658614655,0.023143700746420443
Slc52a2,0.28688264,0.0019266459144200055,0.011594845429487246
Trmt1,0.12672384,0.004406832378116449,0.023158273140143647
Hmgn5,0.13021187,0.0019301794580158275,0.01161213406905585
Atrx,0.11505125,0.004408459447242003,0.023159897717902455
Ppie,0.17102836,0.001936318047766238,0.011638396823999296
Xlr3a,0.74285936,0.004410021665820479,0.023161180733252622
Magt1,0.14378381,0.0019439619645049938,0.011671077417918093
Usb1,0.38416237,0.004421591671640697,0.023208073609839296
Gltp,0.20543572,0.0019465068678914974,0.011682365160333772
A1cf,0.24032953,0.0044275375811219375,0.02323234336012416
Marcks,0.123704575,0.001964330108461481,0.011776133291536855
Zfp950,0.19632518,0.0044433051255747215,0.023291619534928032
Psmg1,0.16881654,0.0019648109492281375,0.011776133291536855
Maml2,1.5988691,0.004444418390452694,0.023291619534928032
Ppp1cc,0.10315386,0.001969222535333667,0.011794528838929287
Fdft1,0.24051647,0.004456767763428708,0.023343898630918833
Plekhj1,0.13974436,0.0019897363035509762,0.011901169524268654
Cep350,0.27251378,0.004463201125181746,0.023370629729683796
Dbr1,0.3271716,0.001995037196726018,0.011924758046961331
Mtss1,0.23692852,0.004468647596693234,0.023385212691092973
Guca2b,0.33946848,0.0020204046963899756,0.012051789453381208
Pld5,1.0612724,0.004466940595133625,0.02338324309749276
Yae1d1,0.16735381,0.002043752248766798,0.012178656584462171
Mrps9,0.13065487,0.004499873883636098,0.023534608261052723
Gphn,0.2795552,0.002055400032009424,0.012243913478814103
AI464131,0.26550037,0.004499481246154376,0.023534608261052723
Mad1l1,0.39061993,0.0020663921656207482,0.0122968877502382
Dcaf4,0.2974389,0.004507461706587793,0.023567278955628473
Ntpcr,0.2375149,0.0020759927819889476,0.012345658598271329
Cnpy2,0.094530664,0.0045108760894016185,0.023578115859326187
Lmnb2,0.21687444,0.0020869105416527573,0.01239799829224608
Dok3,1.7450799,0.004521031382268415,0.023624170229141497
Top1mt,0.34266746,0.002096283700040768,0.012428472827535904
Nudt18,0.43392053,0.004532616892233695,0.02367766844447762
Ppp5c,0.16846879,0.00209820874432394,0.012435690476898685
Prkag2,0.32062566,0.004539059954559824,0.023697237249399816
Whsc1,0.17279291,0.002111359726821213,0.012509414861574234
Lipo1,0.41376114,0.004579639952394594,0.023880715989148427
Ap2s1,0.10788842,0.0021410922926218975,0.01265996462255875
Hsp90ab1,0.03963672,0.004589384422295983,0.02391733465391676
Cklf,0.39214182,0.0021522074180450627,0.012715240566179155
Fis1,0.0887606,0.0045968628592951795,0.023949205759381618
Kansl2,0.18680722,0.0021535486468787224,0.012715373531223814
Lamp1,0.08808758,0.004602980874533484,0.023973972409062513
Armc1,0.18020989,0.0021540810904486026,0.012715373531223814
Csnk1a1,0.09325927,0.004618032239411698,0.024045238679461265
Neto2,0.57659787,0.0021565235375608552,0.012725148413068045
Dbp,0.52046233,0.004631502714579493,0.024108233768751607
Casp8ap2,0.23705767,0.002163173681311011,0.012743362756177807
Klhl9,0.21040598,0.004646549928932065,0.02416508490710955
N6amt2,0.16823182,0.0021714360367130234,0.012787749823444355
Ptov1,0.13452643,0.004649472357262744,0.024173129507153314
Med4,0.22198428,0.0021730446505716663,0.012792935894303482
R3hdm2,0.21684642,0.004668157288735698,0.02425271366132331
Nsmce1,0.193464,0.0021839182587027398,0.012831158662715897
Snx21,0.30350077,0.0046703000642985305,0.02425271366132331
Vars2,0.31103164,0.00224182048781913,0.013127461323707288
Srcap,0.359245,0.004669734438781202,0.02425271366132331
Crip1,0.10625814,0.002250266757691926,0.013172530890379818
Eif2s3x,0.1532526,0.004682717889776664,0.02431001520739891
