,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Dnpep,-0.11587864,,,9.953608209470856e-05,0.00033694204114069373,,-0.11587864
Kcnq1,-0.14326836,,,9.559260070444981e-05,0.000324730940962791,,-0.14326836
Dgcr6,-0.16178133,,,9.4801466106225e-05,0.00032229532454494095,,-0.16178133
Arhgef12,-0.24082465,,,9.112354512835744e-05,0.0003101610876999473,,-0.24082465
Pck2,-0.20690101,,,9.071246734513474e-05,0.0003089982283037838,,-0.20690101
Fam177a,-0.29296714,,,8.975954168039834e-05,0.0003058720877411614,,-0.29296714
Rnf152,-0.339475,,,8.884851031784991e-05,0.0003030051393460452,,-0.339475
Smarcd2,-0.099625915,,,8.84697480000563e-05,0.00030195034132881406,,-0.099625915
Gm18025,-0.36317533,,,8.759829402022207e-05,0.00029932860452743334,,-0.36317533
Tfdp2,-0.16543153,,,8.469066446988335e-05,0.00028973472894006135,,-0.16543153
Rtn4,-0.19535711,,,8.377922085872088e-05,0.0002869553849191728,,-0.19535711
Ip6k2,-0.32702416,,,8.364583428873767e-05,0.0002866114455940073,,-0.32702416
Tmem106c,-0.3461112,,,8.29940715968772e-05,0.0002847148636115444,,-0.3461112
Msi2,-0.3249315,,,8.295150117719125e-05,0.00028468116846953157,,-0.3249315
Tnpo2,-0.5208664,,,8.263742377595323e-05,0.0002838273903138528,,-0.5208664
Itch,-0.2524284,,,7.9312743763499e-05,0.0002732721686627415,,-0.2524284
Ifitm3,-0.17506759,,,7.588530726415261e-05,0.00026187811673175014,,-0.17506759
Rara,-0.43534273,,,7.510385239290309e-05,0.00025949037712698987,,-0.43534273
Cblc,-0.22013305,,,7.326037602824466e-05,0.0002534231789946402,,-0.22013305
Tnik,-0.34967855,,,7.316717506418896e-05,0.0002532015337710966,,-0.34967855
Sipa1l3,-0.49175858,,,7.229601681937001e-05,0.0002503861650242165,,-0.49175858
Tapbpl,-0.34570584,,,7.079079792471071e-05,0.0002454664564657001,,-0.34570584
Ccl28,-0.2587447,,,6.932295500397905e-05,0.00024056864185612373,,-0.2587447
Fam20b,-0.22520481,,,6.915254960363598e-05,0.0002401690426306063,,-0.22520481
Gpbp1l1,-0.21365996,,,6.888429511056835e-05,0.00023942869947867677,,-0.21365996
Irf2,-0.18702365,,,6.797202084553002e-05,0.00023635231088407698,,-0.18702365
Atp8b1,-0.08312671,,,6.670042040385251e-05,0.00023220935305193826,,-0.08312671
Efnb1,-0.20788059,,,6.616201843280492e-05,0.00023042725410111104,,-0.20788059
Ctdspl2,-0.29847386,,,6.470945068684111e-05,0.00022573003805004407,,-0.29847386
Kcnq1ot1,-0.2573578,,,6.427339049770645e-05,0.0002242989095128712,,-0.2573578
Cct4,-0.051923215,,,6.399096879815325e-05,0.0002234927648703681,,-0.051923215
Amica1,-0.16339964,,,6.0448410918887385e-05,0.0002115451031070403,,-0.16339964
Zfp395,-0.5526571,,,5.974694699603047e-05,0.00020917447049395606,,-0.5526571
Frat2,-0.14950463,,,5.873988407636776e-05,0.00020581451522606406,,-0.14950463
Rab19,-0.45509416,,,5.677909470617945e-05,0.0001995878165308605,,-0.45509416
Xpa,-0.34569952,,,5.642758762405447e-05,0.00019843245113912038,,-0.34569952
Ppm1h,-0.5824927,,,5.508332321789382e-05,0.00019401917695832698,,-0.5824927
Gprin3,-0.589016,,,5.4328852307917425e-05,0.00019159460978203903,,-0.589016
Glipr2,-0.5940198,,,5.4208805410518816e-05,0.0001913133897676745,,-0.5940198
Hmgn2,-0.08387561,,,5.1860973517944015e-05,0.00018348695270308803,,-0.08387561
Ankrd12,-0.29230607,,,5.1817137471577215e-05,0.00018340650490245142,,-0.29230607
Vgll4,-0.14592978,,,4.986825409309666e-05,0.000176796383699547,,-0.14592978
Mbnl2,-0.17615014,,,4.9850416145891034e-05,0.000176796383699547,,-0.17615014
Cd2ap,-0.12000258,,,4.843733241647505e-05,0.00017214461598381747,,-0.12000258
Skap2,-0.37049484,,,4.777215175820741e-05,0.00016985002668061226,,-0.37049484
Tsc22d3,-0.41837418,,,4.7351098553826505e-05,0.00016855982789861334,,-0.41837418
Ptprk,-0.22647104,,,4.548274182639427e-05,0.00016237432225743134,,-0.22647104
Acap2,-0.35351634,,,4.517822800625258e-05,0.00016135346592372786,,-0.35351634
Peli1,-0.20334047,,,4.4426642758389974e-05,0.00015879967331360365,,-0.20334047
Utrn,-0.27650163,,,4.388863496392366e-05,0.00015700572170427506,,-0.27650163
Hp1bp3,-0.13113715,,,4.3644704917151293e-05,0.00015619737334079712,,-0.13113715
Asah1,-0.27861595,,,4.2716635941686595e-05,0.0001529505397197257,,-0.27861595
Bex1,-0.7802005,,,4.217506154794613e-05,0.00015124909654962694,,-0.7802005
Rhoa,-0.048477437,,,4.198561855409507e-05,0.00015063185393757674,,-0.048477437
Mpv17,-0.42992312,,,4.121080528547312e-05,0.0001479741967561412,,-0.42992312
Arhgap32,-0.17875095,,,4.1077787432991594e-05,0.00014755752320454375,,-0.17875095
Oaz2,-0.30804265,,,4.093271700535778e-05,0.00014709719261164745,,-0.30804265
Tspan12,-0.22352569,,,3.8402394406246285e-05,0.00013834729157625317,,-0.22352569
Ghrl,-0.45106995,,,3.810666198429796e-05,0.00013733881120626127,,-0.45106995
Notch1,-0.35587,,,3.5581501830665446e-05,0.00012873201250712825,,-0.35587
Efna4,-0.22841275,,,3.555969450598947e-05,0.00012873201250712825,,-0.22841275
Rbm4b,-0.2828325,,,3.415207628961505e-05,0.0001237532301732487,,-0.2828325
Adgra3,-0.33110163,,,3.4097044415929494e-05,0.00012360534074548586,,-0.33110163
Irf2bpl,-0.4745822,,,3.3185773746982726e-05,0.00012040230850689518,,-0.4745822
Fam98c,-0.14713563,,,3.1852923976753527e-05,0.00011595371362224389,,-0.14713563
Hopx,-0.2680875,,,3.1821029816257914e-05,0.00011588613832958945,,-0.2680875
Itm2c,-0.34048954,,,3.173225436888535e-05,0.00011561126874632035,,-0.34048954
Bmp2k,-0.32565233,,,3.166811565467911e-05,0.00011542596619963332,,-0.32565233
Aoc1,-0.15933277,,,3.153048234745502e-05,0.00011497251805638696,,-0.15933277
Junb,-0.37142828,,,3.0392718537881565e-05,0.0001111501481909148,,-0.37142828
Soat1,-0.31917542,,,3.0080274556329965e-05,0.00011010013756554795,,-0.31917542
Gm12216,-0.52735233,,,2.9833672975698104e-05,0.00010928955717561889,,-0.52735233
Abr,-0.26620898,,,2.9770309340804282e-05,0.00010910341446020726,,-0.26620898
2010300C02Rik,-0.276912,,,2.8943564802225917e-05,0.00010620785513961584,,-0.276912
Srpk2,-0.34963816,,,2.764379225813396e-05,0.00010158472041802699,,-0.34963816
Arrdc1,-0.21037363,,,2.7506287981735485e-05,0.00010114727640661022,,-0.21037363
Il18,-0.62001604,,,2.73954768833453e-05,0.00010091054260462742,,-0.62001604
Atxn1,-0.58606476,,,2.684619418602853e-05,9.892919290341078e-05,,-0.58606476
Pold4,-0.3141872,,,2.6090807858135466e-05,9.639073213377459e-05,,-0.3141872
Paip1,-0.30544302,,,2.5346773425106235e-05,9.372160841533327e-05,,-0.30544302
Sptbn1,-0.12744902,,,2.3560152117502495e-05,8.737559827536229e-05,,-0.12744902
Pak2,-0.13993365,,,2.3375199348450754e-05,8.672667858987724e-05,,-0.13993365
Phlda3,-0.9636444,,,2.281742137107204e-05,8.48382566205001e-05,,-0.9636444
Sec61g,-0.054055095,,,2.278660972997418e-05,8.475994796006229e-05,,-0.054055095
Lrig1,-0.28869364,,,2.25583282726791e-05,8.39467241756847e-05,,-0.28869364
Snx10,-0.4023256,,,2.1851710962247595e-05,8.14916016279787e-05,,-0.4023256
