,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Pfn1,0.096907385,,,0.003815356121323404,0.10601938291706718,,0.096907385
Ndufb9,0.1702498,,,0.003885021231567773,0.10717007659153864,,0.1702498
Pkig,0.27206087,,,0.003998627145955885,0.1099042953957295,,0.27206087
Shisa5,0.30747822,,,0.0041342922602441825,0.11232422282476669,,0.30747822
Ubc,0.16944982,,,0.004145898021478338,0.11232422282476669,,0.16944982
Btg2,0.24097703,,,0.004187096196862188,0.11266381542653565,,0.24097703
Psmd13,0.24473435,,,0.004198144922118179,0.11266381542653565,,0.24473435
Srp9,0.17199145,,,0.00420298705058128,0.11266381542653565,,0.17199145
Hn1,0.20878702,,,0.004280449494612471,0.11393505216186038,,0.20878702
Prmt1,0.21834834,,,0.004331385276359459,0.11488772274987014,,0.21834834
Cotl1,0.17606837,,,0.004364214630367552,0.11504897561308047,,0.17606837
Ndufab1,0.17746156,,,0.004367796595909198,0.11504897561308047,,0.17746156
Myl7,0.4461144,,,0.004421846831589585,0.11606965420220966,,0.4461144
Mrps24,0.19177559,,,0.004539927281905546,0.11875823572598437,,0.19177559
Cib1,0.15750982,,,0.004589902490010814,0.11961368284281278,,0.15750982
Herpud1,0.30362216,,,0.004666180293284087,0.12055730237844603,,0.30362216
Chmp5,0.17220195,,,0.004672270880472335,0.12055730237844603,,0.17220195
Prdx5,0.17965162,,,0.004854424120630104,0.12441101817263503,,0.17965162
Dynlrb1,0.14063376,,,0.005101234573539594,0.12948742404117985,,0.14063376
Ssr2,0.11767996,,,0.005175954228799012,0.13088262926556435,,0.11767996
Glul,0.18718775,,,0.0054909900566210154,0.13838754342035556,,0.18718775
Calml4,0.19405775,,,0.0055583531429958056,0.13916061697282567,,0.19405775
Krt8,0.17376254,,,0.005609363865350091,0.13997577066626907,,0.17376254
Anxa6,0.24170618,,,0.005679852437464643,0.1412700347233009,,0.24170618
Pxmp4,0.49287316,,,0.005709914292202301,0.14136353854431524,,0.49287316
Serf1,0.26540416,,,0.005720881404311201,0.14136353854431524,,0.26540416
Sult1d1,0.18451512,,,0.005741954817075761,0.14142360143615818,,0.18451512
Med21,0.3157206,,,0.005890500195540034,0.14368274753494115,,0.3157206
Arpc1a,0.18574885,,,0.005970815779772303,0.144711209282277,,0.18574885
Rpl36al,0.12150161,,,0.006009907894535327,0.14519478117179932,,0.12150161
Gtf2e2,0.25984064,,,0.00611981789748035,0.1473807573659871,,0.25984064
Hnrnpk,0.1558137,,,0.006279120477949179,0.1505251801806314,,0.1558137
Spag7,0.25477222,,,0.006290071462860553,0.1505251801806314,,0.25477222
Idh1,0.3633935,,,0.00639344965559081,0.15251795310475436,,0.3633935
Llph,0.23277713,,,0.006472750581977171,0.15296662278778447,,0.23277713
Swi5,0.117943466,,,0.006563279678090971,0.1541456335541737,,0.117943466
Zdhhc3,0.2777667,,,0.006798877030271216,0.1591860529371526,,0.2777667
Impa1,0.23245853,,,0.006821349314474284,0.15922078738339054,,0.23245853
Srsf2,0.1835117,,,0.00684496327430083,0.15928187545658312,,0.1835117
Rhob,0.37406868,,,0.006878362160938391,0.15956958823510287,,0.37406868
Klhdc2,0.27671748,,,0.006908654663523413,0.15978370206551407,,0.27671748
Setd8,0.24692154,,,0.007094049700437906,0.1635728298708874,,0.24692154
Gnb2,0.1332904,,,0.007129652904295423,0.16389559676359114,,0.1332904
Zranb2,0.28049874,,,0.0071676569937618225,0.16427143792953833,,0.28049874
Gtf2b,0.29905012,,,0.00726119655046631,0.16549321262044808,,0.29905012
Polr3k,0.28660077,,,0.0072645979175598755,0.16549321262044808,,0.28660077
Gadd45g,0.3241639,,,0.007415680844473328,0.16842920624603194,,0.3241639
Cope,0.20283832,,,0.007702392721208206,0.1733838314038144,,0.20283832
Csnk2b,0.22845632,,,0.0077949117785473315,0.1744312706550444,,0.22845632
Mvp,0.3320463,,,0.007840936449150172,0.1749451291272153,,0.3320463
Isyna1,0.25986007,,,0.008056049509438576,0.17735866468072695,,0.25986007
Cdk5rap1,1.2870007,,,0.00806600834627614,0.17735866468072695,,1.2870007
Tle6,0.3557627,,,0.008090953674897415,0.17739299010916704,,0.3557627
Hadhb,0.23480524,,,0.008191427029741537,0.1790782865925628,,0.23480524
Ftl1,0.06350709,,,0.008358365133993727,0.18168068168044818,,0.06350709
Fkbp2,0.18756174,,,0.008417702618604209,0.18244769161351865,,0.18756174
