,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Srek1ip1,0.058601633,,,0.2506908078687904,0.49562957531031354,,0.058601633
Usp5,0.10486589,,,0.25074303573438517,0.49562957531031354,,0.10486589
Gramd4,0.29182163,,,0.25074303573438517,0.49562957531031354,,0.29182163
Thnsl2,0.17766792,,,0.2511437017131951,0.4959497840362997,,0.17766792
Ncapd3,0.27888656,,,0.25142268922943023,0.4963779137841484,,0.27888656
Rmdn1,0.094584145,,,0.2523833575077634,0.49790508146983875,,0.094584145
Ubap1,0.16238563,,,0.25324137813115666,0.4992276315739423,,0.16238563
Cflar,0.08868775,,,0.2538906160316945,0.4996114387871988,,0.08868775
Dnajc24,0.15044783,,,0.25403114399081117,0.4996114387871988,,0.15044783
2310040G24Rik,0.37083673,,,0.2543123622891993,0.4996114387871988,,0.37083673
Rrp36,0.1667887,,,0.255051590672814,0.5005861289275251,,0.1667887
Chac2,0.16441618,,,0.2553159625445568,0.5008434536816545,,0.16441618
Ttc27,0.53961587,,,0.2554041288195439,0.5008933062008843,,0.53961587
Crebbp,0.056043692,,,0.2559865570009643,0.5016810766221407,,0.056043692
Derl1,0.06941871,,,0.2567468621841026,0.5025388558002715,,0.06941871
1810037I17Rik,0.06545165,,,0.2571364611825151,0.5029314464981219,,0.06545165
Nol8,0.3356679,,,0.2575264702850689,0.50328582192754,,0.3356679
Nup35,0.426417,,,0.25781037090917536,0.503332297438837,,0.426417
Mocos,0.3518034,,,0.2578458737443503,0.503332297438837,,0.3518034
Zrsr2,0.09181034,,,0.2584677222951739,0.5041762852786115,,0.09181034
Abhd11,0.067309275,,,0.258645584090458,0.5042038946486354,,0.067309275
Nle1,0.50942844,,,0.25882353069327757,0.5042541913580038,,0.50942844
Puf60,0.04870098,,,0.2590193699195028,0.5045125941184654,,0.04870098
Sec61a2,0.16819274,,,0.26008939097209416,0.5054866127926115,,0.16819274
Eif2b1,0.09755173,,,0.2606076630439208,0.5061210529380998,,0.09755173
Ddx20,0.5864771,,,0.2617360251814316,0.5073280604658055,,0.5864771
Ccdc25,0.04184399,,,0.2620769865771385,0.5075655333901158,,0.04184399
Ears2,0.17948723,,,0.2621128950932169,0.5075655333901158,,0.17948723
Sike1,0.132915,,,0.262364349878381,0.5079292361700792,,0.132915
Dtwd1,0.4936248,,,0.2629577238183395,0.5087078408914167,,0.4936248
Mtfr1l,0.055037543,,,0.2630657094431671,0.508720989045597,,0.055037543
Shb,0.46124855,,,0.2631377168627186,0.508720989045597,,0.46124855
March8,0.091992766,,,0.2631557208430556,0.508720989045597,,0.091992766
Iws1,0.15330683,,,0.26326376257947304,0.5088066229804731,,0.15330683
Eefsec,0.309036,,,0.26344390016057107,0.5089083279481312,,0.309036
Ttc38,0.18903172,,,0.2635159790016547,0.5089243998043087,,0.18903172
