"X","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val"
"Chchd1",892.188173132585,-0.00819516591013955,0.0745508876594494,-0.109927140607303,0.912467157886204,0.99968310042788
"Camk2g",61.9273768525379,-0.055369540711205,0.290075463604635,-0.1908797801205,0.848619782027002,0.99968310042788
"Vcl",110.180706469616,-0.150407504257784,0.193868976470771,-0.775820386509651,0.437855045084239,0.99968310042788
"Ap3m1",271.014061119233,0.0185398670944777,0.141656941963438,0.130878634237797,0.895871316690214,0.99968310042788
"Adk",209.328226401407,-0.0140684041671658,0.153409526232009,-0.0917048928623207,0.926932509834135,0.99968310042788
"Kat6b",85.6823318699223,-0.249877763693794,0.229954178436167,-1.08664154482045,0.277195257079166,0.99968310042788
"Samd8",172.079728955045,0.057201326182946,0.17370497141517,0.329301606723909,0.74192772979509,0.99968310042788
"Vdac2",1392.70030320177,0.0233963888214634,0.0687255863187141,0.340432000288262,0.733531223504114,0.99968310042788
"Comtd1",283.74528777116,-0.0638589024978851,0.130034881333521,-0.49109055849481,0.623362398968261,0.99968310042788
"Rps24",3739.82772011978,-0.0247296505247885,0.0514986726849295,-0.480199765071331,0.631085353881535,0.99968310042788
"Zmiz1",215.087876578779,-0.191194019378435,0.142352101081274,-1.34310640957295,0.179237520426838,0.99968310042788
"Ppif",258.304692151918,-0.150987917718019,0.14026083019633,-1.07647956672347,0.281712834483715,0.99968310042788
"Anxa11",563.654117225232,-0.085758761783875,0.0946973437962133,-0.905608946840432,0.365142871586516,0.99968310042788
"Slmap",237.361899630875,0.0620612692418136,0.139807766288382,0.443904304384632,0.657111772391543,0.99968310042788
"Dennd6a",109.900601051572,0.161150241001018,0.197088036073686,0.817656130790038,0.413553566705052,0.99968310042788
"Arf4",1541.81849584132,0.0137519105786775,0.064677715293691,0.212622083452273,0.831621745174741,0.99968310042788
"Pde12",129.574666215629,-0.0234492862333907,0.182934177155145,-0.128184282445502,0.898003138243713,0.99968310042788
"Appl1",76.6286277015509,-0.277843790490813,0.253767479849873,-1.09487547677576,0.273571194056493,0.99968310042788
"Fam208a",105.855274490515,-0.271768039071813,0.210029203173097,-1.29395357867369,0.19568145590122,0.99968310042788
"Selk",1497.34748800622,0.0688711510945589,0.07463549785267,0.922766687113283,0.356128804652996,0.99968310042788
"Actr8",132.053747331739,0.0145667135257731,0.178723694317231,0.0815040981634897,0.935041065860923,0.99968310042788
"Chdh",128.374259081449,-0.281675666518346,0.183690042735861,-1.5334291522997,0.125170150453247,0.99968310042788
"Tkt",1100.55127499612,0.0213580516978581,0.0734532945143152,0.290770507151257,0.771226843087948,0.99968310042788
"Prkcd",366.138238362055,0.0197959421928993,0.11195258382314,0.176824343993458,0.85964636661371,0.99968310042788
"Tmem110",110.53565836517,0.223221308463986,0.224652670447057,0.993628555671197,0.320403736672156,0.99968310042788
